,ID_SKU_VENTA,DESCR_CENDIST,DELTA
288,856,TALCA,-4.44E-16
289,856,TALCAHUANO,2.050400515
290,856,TEMUCO,0
291,856,VALDIVIA,0.715252386
292,859,ANTOFAGASTA,0.067254976
293,859,ARICA,-0.244068821
294,859,CALAMA,-0.134048869
295,859,CASTRO,-0.940869935
296,859,CHILLAN,-8.584245156
297,859,COPIAPO,2.22E-16
298,859,COQUIMBO,0.480711621
299,859,CURAUMA,6.719775409
300,859,ILLAPEL,-0.502622928
301,859,IQUIQUE,0.15747516
302,859,LLAY LLAY,-6.821499587
303,859,LOS ANGELES,-4.448724942
304,859,OSORNO,-1.14826457
305,859,OVALLE,-0.627755043
306,859,PUERTO MONTT,0.828477177
307,859,RANCAGUA,-4.984426538
308,859,SANTIAGO SUR,4.505158039
309,859,TALCA,0
310,859,TALCAHUANO,12.06361748
311,859,TEMUCO,8.88E-16
312,859,VALDIVIA,0.938976429
313,905,ANTOFAGASTA,0.509253735
314,905,ARICA,-0.798011185
315,905,CALAMA,-0.71349112
316,905,CASTRO,-0.727697666
317,905,CHILLAN,-1.826763407
318,905,COPIAPO,4.44E-16
319,905,COQUIMBO,0.563792315
320,905,COYHAIQUE,0
321,905,CURAUMA,2.902694135
322,905,ILLAPEL,-0.334187834
323,905,IQUIQUE,0.632284521
324,905,LLAY LLAY,-3.131233261
325,905,LOS ANGELES,-1.605410612
326,905,OSORNO,-1.609054148
327,905,OVALLE,-1.03500666
328,905,PUERTO MONTT,0.479959736
329,905,RANCAGUA,-4.018875535
330,905,SANTIAGO SUR,3.383191011
331,905,TALCA,0
332,905,TALCAHUANO,2.552797742
333,905,TEMUCO,0
334,905,VALDIVIA,1.293620428
335,909,ANTOFAGASTA,1.212693933
336,909,ARICA,-8.159543453
337,909,CALAMA,-1.594992514
338,909,CASTRO,-1.443196544
339,909,CHILLAN,-3.328540885
340,909,COPIAPO,0
341,909,COQUIMBO,0.869820475
342,909,COYHAIQUE,0
343,909,CURAUMA,3.814096157
344,909,ILLAPEL,-0.601821861
345,909,IQUIQUE,6.298682892
346,909,LLAY LLAY,-3.89962992
347,909,LOS ANGELES,-3.117551641
348,909,OSORNO,-3.187971701
349,909,OVALLE,-1.368269098
350,909,PUERTO MONTT,1.243197765
351,909,RANCAGUA,-5.346322552
352,909,SANTIAGO SUR,4.943503763
353,909,TALCA,0
354,909,TALCAHUANO,5.467986633
355,909,TEMUCO,0
356,909,VALDIVIA,2.851642383
357,914,ANTOFAGASTA,0.857697088
358,914,ARICA,-1.530801942
359,914,CALAMA,-1.041367398
360,914,CASTRO,-0.324853402
361,914,CHILLAN,-6.6458996
362,914,COPIAPO,4.44E-16
363,914,COQUIMBO,1.537424674
364,914,CURAUMA,10.13612499
365,914,ILLAPEL,-0.78792153
366,914,IQUIQUE,1.360877295
367,914,LLAY LLAY,-9.860938538
368,914,LOS ANGELES,-6.629484249
369,914,OSORNO,-0.75402012
370,914,OVALLE,-1.814118941
371,914,PUERTO MONTT,0.208534269
372,914,RANCAGUA,-7.388091812
373,914,SANTIAGO SUR,6.977660015
374,914,TALCA,0
375,914,TALCAHUANO,11.7892094
376,914,TEMUCO,4.44E-16
377,914,VALDIVIA,0.620374748
378,915,ANTOFAGASTA,1.543634865
379,915,ARICA,-1.591365584
380,915,CALAMA,-2.499537764
381,915,CASTRO,-1.291105566
382,915,CHILLAN,-4.324758219
383,915,COPIAPO,0
384,915,COQUIMBO,1.099793923
385,915,COYHAIQUE,0
386,915,CURAUMA,5.458156817
387,915,ILLAPEL,-0.7520604
388,915,IQUIQUE,1.01187377
389,915,LLAY LLAY,-5.60121414
390,915,LOS ANGELES,-3.985781767
391,915,OSORNO,-3.098166858
392,915,OVALLE,-1.834811293
393,915,PUERTO MONTT,0.94674708
394,915,RANCAGUA,-9.219347894
395,915,SANTIAGO SUR,7.803929335
396,915,TALCA,1.78E-15
397,915,TALCAHUANO,7.016855896
398,915,TEMUCO,8.88E-16
399,915,VALDIVIA,2.633972205
400,919,ANTOFAGASTA,3.004112756
401,919,ARICA,-2.9171843
402,919,CALAMA,-3.533002312
403,919,CASTRO,-1.585423415
404,919,CHILLAN,-3.541629748
405,919,COPIAPO,0
406,919,COQUIMBO,1.368050764
407,919,COYHAIQUE,0
408,919,CURAUMA,6.612015569
409,919,ILLAPEL,-0.917570724
410,919,IQUIQUE,2.584102421
411,919,LLAY LLAY,-6.391067009
412,919,LOS ANGELES,-4.040284539
413,919,OSORNO,-2.996891616
414,919,OVALLE,-1.710806945
415,919,PUERTO MONTT,1.343657102
416,919,RANCAGUA,-8.618671756
417,919,SANTIAGO SUR,8.1968214
418,919,TALCA,3.55E-15
419,919,TALCAHUANO,7.067660559
420,919,TEMUCO,0
421,919,VALDIVIA,2.78505412
422,924,ANTOFAGASTA,1.217495485
423,924,ARICA,-2.00591468
424,924,CALAMA,-1.44579797
425,924,CASTRO,-0.340322838
426,924,CHILLAN,-2.614053794
427,924,COPIAPO,-4.44E-16
428,924,COQUIMBO,1.489961347
429,924,CURAUMA,7.651511073
430,924,ILLAPEL,-0.731603834
431,924,IQUIQUE,1.837142868
432,924,LLAY LLAY,-7.456837663
433,924,LOS ANGELES,-2.331832724
434,924,OSORNO,-0.781603577
435,924,OVALLE,-1.726597573
436,924,PUERTO MONTT,0.217198805
437,924,RANCAGUA,-6.292704114
438,924,SANTIAGO SUR,5.878158814
439,924,TALCA,-1.78E-15
440,924,TALCAHUANO,3.887018093
441,924,TEMUCO,4.44E-16
442,924,VALDIVIA,0.65713394
443,925,ANTOFAGASTA,1.904148347
444,925,ARICA,-1.790399619
445,925,CALAMA,-3.230451049
446,925,CASTRO,-1.367315107
447,925,CHILLAN,-3.006671204
448,925,COPIAPO,8.88E-16
449,925,COQUIMBO,1.136522744
450,925,COYHAIQUE,0
451,925,CURAUMA,4.549648434
452,925,ILLAPEL,-0.678777387
453,925,IQUIQUE,1.260666399
454,925,LLAY LLAY,-4.73687075
455,925,LOS ANGELES,-2.772290074
456,925,OSORNO,-3.254178237
457,925,OVALLE,-1.807203722
458,925,PUERTO MONTT,1.046243578
459,925,RANCAGUA,-8.64933267
460,925,SANTIAGO SUR,7.230809604
461,925,TALCA,0
462,925,TALCAHUANO,4.649486313
463,925,TEMUCO,-8.88E-16
464,925,VALDIVIA,2.741638299
465,929,ANTOFAGASTA,4.035287501
466,929,ARICA,-3.390225462
467,929,CALAMA,-4.541771292
468,929,CASTRO,-1.875698255
469,929,CHILLAN,-2.434425199
470,929,COPIAPO,-8.88E-16
471,929,COQUIMBO,1.32696681
472,929,COYHAIQUE,-4.44E-16
473,929,CURAUMA,5.869667307
474,929,ILLAPEL,-0.902030962
475,929,IQUIQUE,3.093641047
476,929,LLAY LLAY,-5.775101633
477,929,LOS ANGELES,-2.470533622
478,929,OSORNO,-3.096951277
479,929,OVALLE,-1.688782209
480,929,PUERTO MONTT,1.594779867
481,929,RANCAGUA,-7.737862793
482,929,SANTIAGO SUR,7.30125055
483,929,TALCA,-1.78E-15
484,929,TALCAHUANO,4.459065587
485,929,TEMUCO,8.88E-16
486,929,VALDIVIA,2.862014972
487,934,ANTOFAGASTA,0.39799819
488,934,ARICA,-0.294310028
489,934,CALAMA,-0.514935171
490,934,CASTRO,-0.72908588
491,934,CHILLAN,-0.868119836
492,934,COPIAPO,0
493,934,COQUIMBO,0.082619267
494,934,COYHAIQUE,0
495,934,CURAUMA,1.249723472
496,934,ILLAPEL,-0.267445371
497,934,IQUIQUE,0.157545388
498,934,LLAY LLAY,-1.372044608
499,934,LOS ANGELES,-1.092132606
500,934,OSORNO,-1.819772419
501,934,OVALLE,-0.23720785
502,934,PUERTO MONTT,0.561081068
503,934,RANCAGUA,-1.74966839
504,934,SANTIAGO SUR,1.515346589
505,934,TALCA,0
506,934,TALCAHUANO,1.565335077
507,934,TEMUCO,8.88E-16
508,934,VALDIVIA,1.667205381
509,935,ANTOFAGASTA,1.156071548
510,935,ARICA,-0.950181183
511,935,CALAMA,-1.557140248
512,935,CASTRO,-1.502264162
513,935,CHILLAN,-2.733856639
514,935,COPIAPO,8.88E-16
515,935,COQUIMBO,0.765665494
516,935,COYHAIQUE,0
517,935,CURAUMA,3.738704532
518,935,ILLAPEL,-0.579127738
519,935,IQUIQUE,0.681689195
520,935,LLAY LLAY,-4.015591394
521,935,LOS ANGELES,-3.153558139
522,935,OSORNO,-3.382766889
523,935,OVALLE,-1.218836787
524,935,PUERTO MONTT,1.113358069
525,935,RANCAGUA,-7.131686388
526,935,SANTIAGO SUR,6.022760291
527,935,TALCA,0
528,935,TALCAHUANO,4.909576975
529,935,TEMUCO,0
530,935,VALDIVIA,2.968586274
531,939,ANTOFAGASTA,1.26957882
532,939,ARICA,-1.024116433
533,939,CALAMA,-1.757143405
534,939,CASTRO,-1.910391285
535,939,CHILLAN,-2.45145852
536,939,COPIAPO,0
537,939,COQUIMBO,0.869503358
538,939,COYHAIQUE,0
539,939,CURAUMA,4.629392351
540,939,ILLAPEL,-0.587135491
541,939,IQUIQUE,0.852827868
542,939,LLAY LLAY,-4.591160189
543,939,LOS ANGELES,-2.91697867
544,939,OSORNO,-3.83846725
545,939,OVALLE,-1.237185732
546,939,PUERTO MONTT,1.660021367
547,939,RANCAGUA,-6.770602544
548,939,SANTIAGO SUR,6.322620414
549,939,TALCA,-1.78E-15
550,939,TALCAHUANO,4.944895671
551,939,TEMUCO,-1.78E-15
552,939,VALDIVIA,3.563319813
553,953,ANTOFAGASTA,2.818492988
554,953,ARICA,-2.332495712
555,953,CALAMA,-3.352951188
556,953,CASTRO,-1.746924887
557,953,CHILLAN,-3.524974261
558,953,COPIAPO,0
559,953,COQUIMBO,1.008224528
560,953,COYHAIQUE,0
561,953,CURAUMA,5.656010905
562,953,ILLAPEL,-0.787030108
563,953,IQUIQUE,2.082073422
564,953,LLAY LLAY,-5.697508395
565,953,LOS ANGELES,-4.125128705
566,953,OSORNO,-2.82445989
567,953,OVALLE,-1.270710137
568,953,PUERTO MONTT,1.491684836
569,953,RANCAGUA,-8.430648272
570,953,SANTIAGO SUR,7.98936722
571,953,TALCA,8.88E-16
572,953,TALCAHUANO,7.05041798
573,953,TEMUCO,1.78E-15
574,953,VALDIVIA,2.587743877
575,957,ANTOFAGASTA,1.630096365
576,957,ARICA,-1.468520547
577,957,CALAMA,-2.837862241
578,957,CASTRO,-1.419680266
579,957,CHILLAN,-4.603156165
580,957,COPIAPO,8.88E-16
581,957,COQUIMBO,1.03665747
582,957,COYHAIQUE,2.22E-16
583,957,CURAUMA,4.790854406
584,957,ILLAPEL,-0.709517806
585,957,IQUIQUE,1.102865049
586,957,LLAY LLAY,-4.946589891
587,957,LOS ANGELES,-4.283315461
588,957,OSORNO,-3.085459255
589,957,OVALLE,-1.564679904
590,957,PUERTO MONTT,1.09349759
591,957,RANCAGUA,-9.957974728
592,957,SANTIAGO SUR,8.435769034
593,957,TALCA,-1.78E-15
594,957,TALCAHUANO,7.302907696
595,957,TEMUCO,0
596,957,VALDIVIA,2.655606137
597,1005,ANTOFAGASTA,0.853335416
598,1005,ARICA,-1.122578154
599,1005,CALAMA,-1.210663749
600,1005,CASTRO,-1.154803159
601,1005,CHILLAN,-2.165729239
602,1005,COPIAPO,0
603,1005,COQUIMBO,0.846853261
604,1005,COYHAIQUE,-2.22E-16
605,1005,CURAUMA,4.035629102
606,1005,ILLAPEL,-0.548029643
607,1005,IQUIQUE,0.824623359
608,1005,LLAY LLAY,-4.19882077
609,1005,LOS ANGELES,-1.282536229
610,1005,OSORNO,-1.468443898
611,1005,OVALLE,-1.577739131
612,1005,PUERTO MONTT,0.801670483
613,1005,RANCAGUA,-5.007993919
614,1005,SANTIAGO SUR,4.196096293
615,1005,TALCA,4.44E-16
616,1005,TALCAHUANO,2.66578521
617,1005,TEMUCO,0
618,1005,VALDIVIA,1.134742429
619,1007,ANTOFAGASTA,4.057235859
620,1007,ARICA,-2.346748307
621,1007,CALAMA,-4.632539766
622,1007,CASTRO,-1.74833026
623,1007,CHILLAN,-2.35645748
